Study_Hours,Sleep_Hours,Absences,Attendance_Pct,Quiz_Score,Assignments,GPA_Prev,Part_Time_Job,Passed
0.2,4.5,4,84.9,24.6,7,1.42,No,0
0.9,9.4,5,82.9,28.1,2,2.93,No,0
0.3,5.2,3,82.3,6.1,5,1.39,No,0
5.1,5.9,5,76.0,66.6,7,2.78,No,1
2.5,5.4,3,89.6,21.5,6,2.48,No,0
4.1,6.1,4,79.0,46.6,6,2.93,No,1
7.3,4.4,3,88.5,,7,1.79,No,1
2.0,7.1,1,89.7,28.5,10,2.13,No,0
3.3,4.4,5,,47.5,10,2.96,No,0
6.0,8.8,3,91.7,46.2,7,2.14,Yes,1
1.8,5.4,2,97.1,36.4,9,3.03,No,0
0.6,7.2,2,88.8,10.9,10,2.65,Yes,0
2.3,9.3,4,76.4,45.3,8,2.19,Yes,1
1.3,7.9,2,81.0,31.1,5,2.28,Yes,0
7.4,7.2,4,93.2,49.2,10,2.5,Yes,1
6.5,5.9,3,88.6,62.2,9,2.35,No,1
5.1,6.0,2,89.0,64.6,9,3.01,Yes,1
7.0,8.0,3,86.2,52.1,7,2.24,No,1
6.4,10.0,10,50.4,54.5,7,2.1,No,1
1.5,8.0,4,87.1,29.7,8,3.14,Yes,0
7.1,7.3,5,90.0,53.7,5,2.2,Yes,1
4.3,8.4,3,,38.7,6,2.12,Yes,1
6.5,6.8,4,95.9,48.8,10,0.76,Yes,1
7.2,4.4,4,83.4,54.8,9,1.77,Yes,1
2.5,7.4,3,96.3,33.5,10,1.91,Yes,0
0.9,9.7,6,77.5,25.3,9,2.12,Yes,1
1.8,5.1,3,89.5,39.1,10,1.99,No,0
3.4,8.1,5,89.2,48.8,10,3.19,Yes,1
6.5,5.2,3,91.9,44.2,9,1.96,Yes,1
6.9,7.2,0,100.0,53.8,6,2.01,Yes,1
0.1,4.6,6,66.3,35.7,10,2.61,No,0
4.1,6.7,3,80.5,46.3,8,1.73,No,1
3.3,8.5,2,94.3,46.4,5,3.59,No,0
1.8,6.1,5,87.3,37.0,7,3.06,Yes,0
1.0,8.0,6,76.6,26.3,2,1.68,No,0
2.7,8.8,1,93.0,39.6,10,3.21,No,1
7.5,9.6,6,66.8,61.0,4,3.36,No,1
2.6,5.4,2,88.1,43.2,5,1.7,Yes,1
4.2,6.4,2,92.7,,5,1.68,Yes,0
5.6,4.9,2,87.7,51.2,4,2.07,Yes,1
2.9,10.0,3,83.2,43.4,10,1.51,No,1
7.8,9.6,4,83.7,60.3,9,1.95,No,1
7.7,7.2,3,,62.4,10,2.22,No,1
2.0,9.1,3,91.4,32.8,7,2.85,No,0
4.0,7.1,1,97.4,44.4,4,2.56,Yes,0
2.4,7.7,4,,34.2,3,2.4,No,0
2.3,4.5,7,74.8,31.5,10,2.16,No,0
0.3,8.5,6,75.4,19.0,10,1.58,No,1
4.9,4.8,6,73.9,48.9,7,2.91,No,0
4.0,9.0,5,83.7,53.9,7,2.9,Yes,0
0.4,8.7,3,86.9,31.1,5,2.07,No,0
2.2,8.3,2,86.1,21.8,4,1.73,Yes,0
7.3,4.2,5,87.2,60.2,6,3.59,No,1
1.9,5.8,6,66.7,29.7,9,2.67,No,0
1.2,5.6,0,100.0,19.1,8,2.78,No,0
3.9,6.2,6,78.5,47.3,5,2.81,No,0
7.9,4.5,3,83.2,62.1,10,1.66,Yes,1
1.9,9.6,4,84.1,52.8,5,3.55,No,1
5.4,7.3,4,81.9,48.8,6,2.22,No,0
6.1,5.8,3,92.0,50.5,7,3.08,No,1
1.9,6.4,10,63.9,29.6,6,3.52,No,0
5.8,6.7,1,98.3,50.5,10,2.56,Yes,1
2.9,7.6,5,83.7,42.6,6,1.67,No,1
5.1,7.1,2,91.4,52.6,4,0.75,No,0
5.1,9.5,2,100.0,73.8,8,2.47,Yes,1
4.3,7.0,3,94.1,37.2,8,2.68,No,1
0.7,10.0,7,69.6,28.4,2,2.09,No,0
6.7,9.1,1,100.0,53.2,6,2.59,No,1
2.6,5.3,2,,41.4,4,2.8,No,0
1.5,,4,82.7,45.0,8,3.2,Yes,0
0.3,4.7,6,74.3,33.1,2,2.34,No,0
4.7,8.9,1,100.0,38.8,2,2.47,Yes,1
5.4,6.3,4,83.9,57.2,7,2.37,No,1
0.1,9.3,6,77.3,8.6,2,2.52,Yes,0
4.1,9.2,3,95.0,25.7,9,2.14,No,1
1.8,8.8,5,92.7,31.3,6,2.14,No,0
5.2,8.7,3,85.4,55.2,4,2.18,No,1
1.4,5.8,4,82.9,35.0,10,2.61,No,0
5.5,4.5,6,76.4,66.6,2,1.91,Yes,1
3.1,6.4,2,92.5,40.7,4,2.18,Yes,1
7.5,5.0,3,89.9,64.2,6,3.77,No,1
1.1,8.2,3,85.5,41.0,10,3.13,No,0
2.7,6.1,4,77.7,34.2,7,1.83,No,0
0.9,9.9,9,72.8,33.8,8,3.11,Yes,0
7.4,7.8,6,79.1,66.5,9,2.94,Yes,1
7.0,8.9,6,73.9,52.1,4,2.43,No,1
2.1,4.8,5,82.2,37.6,10,2.0,Yes,0
5.3,9.2,1,100.0,67.8,9,1.92,Yes,1
6.5,,0,96.1,66.9,7,2.66,No,1
4.4,6.9,9,65.1,39.1,5,1.91,Yes,0
4.2,7.6,2,85.1,66.2,7,3.27,No,1
1.9,8.6,5,79.4,42.0,7,3.47,No,0
0.7,5.0,4,87.1,31.8,6,2.47,No,0
7.2,7.0,2,86.4,61.8,10,3.3,No,1
7.2,6.4,4,83.1,65.9,3,2.21,No,1
5.1,4.9,0,100.0,50.4,9,2.0,No,0
2.7,6.2,3,90.9,40.2,8,3.27,Yes,0
2.8,4.4,3,,40.2,8,3.61,No,0
5.8,4.2,4,85.9,64.5,8,3.87,No,1
7.2,4.8,2,94.8,68.4,9,2.73,Yes,1
7.1,9.8,1,96.5,60.5,9,3.1,No,1
6.2,7.3,0,100.0,44.3,5,2.72,No,1
5.1,9.8,2,89.1,52.7,8,3.48,Yes,1
0.7,6.6,6,78.1,23.4,6,2.8,Yes,0
1.3,,3,82.2,28.8,10,3.06,No,0
7.2,7.0,4,76.0,58.4,10,1.71,No,1
4.9,6.6,4,87.9,40.7,8,2.34,Yes,1
0.1,4.6,2,92.1,13.8,9,3.07,No,0
0.8,7.8,3,85.7,32.4,4,3.01,No,0
5.3,5.3,3,82.7,53.0,10,3.13,No,1
0.0,7.7,4,88.1,25.1,5,2.58,No,0
1.3,7.9,4,76.5,34.7,7,2.04,Yes,0
4.4,4.9,1,100.0,,8,2.46,Yes,0
5.5,4.4,5,82.3,55.2,8,2.53,Yes,1
5.2,8.7,3,80.7,62.0,8,2.67,Yes,1
1.8,6.8,6,76.6,30.6,10,1.82,No,1
5.7,4.3,3,100.0,68.3,8,2.31,No,0
1.9,10.0,8,73.9,34.8,6,2.44,Yes,0
2.6,4.3,4,79.9,28.0,8,0.93,No,1
6.0,8.2,8,71.6,63.0,3,3.08,No,1
5.2,9.9,4,76.9,50.3,8,2.61,Yes,1
6.8,5.4,4,77.1,67.8,7,2.69,No,1
5.3,4.9,5,,54.1,8,2.14,No,1
4.5,4.7,5,82.8,45.7,2,2.91,Yes,0
0.7,5.8,4,88.1,39.5,7,1.92,Yes,1
2.9,4.6,2,96.1,34.6,6,2.03,No,0
2.1,8.2,3,90.5,,4,2.94,Yes,0
2.0,4.4,5,71.9,42.5,7,2.75,No,0
7.8,7.1,0,99.7,65.0,9,1.61,No,1
3.1,10.0,2,96.8,53.0,9,3.6,Yes,1
7.1,8.9,4,86.2,52.4,10,1.97,Yes,1
5.0,7.7,4,84.9,47.8,10,2.41,No,1
6.4,5.8,3,89.6,56.6,6,3.72,No,1
4.0,7.7,4,85.6,49.6,6,1.06,No,1
4.6,7.2,9,54.2,50.8,7,1.31,No,1
3.9,6.6,0,100.0,46.8,8,2.81,No,0
1.6,4.8,4,83.4,31.3,5,0.77,No,0
5.8,9.3,0,100.0,41.9,9,1.07,No,1
2.2,6.7,5,68.5,43.8,6,3.32,No,0
0.2,5.2,4,92.3,31.7,8,2.21,No,0
5.2,6.2,4,78.2,72.3,7,4.0,Yes,1
1.4,6.5,3,100.0,34.3,9,1.78,No,0
7.5,9.0,5,90.6,67.1,2,2.28,No,1
7.6,8.4,4,77.4,67.6,10,2.88,Yes,1
7.3,8.6,2,96.1,56.6,6,2.83,Yes,1
3.0,4.1,7,66.9,49.6,7,2.32,No,0
0.1,6.5,5,76.8,24.2,9,2.05,No,0
7.4,6.9,2,88.9,60.8,10,2.66,Yes,1
3.4,4.1,8,70.2,42.8,2,3.46,No,0
7.7,5.6,1,97.6,64.0,9,3.03,Yes,1
7.7,8.6,4,78.0,58.7,6,2.06,No,1
6.8,4.8,4,86.2,59.3,8,1.81,No,1
2.4,7.2,1,95.0,35.3,3,2.02,No,1
3.1,5.3,3,78.9,37.3,9,1.61,Yes,0
6.8,4.1,3,85.8,63.1,6,2.6,Yes,1
2.5,5.4,6,84.3,39.2,2,3.07,No,0
1.4,9.9,4,82.0,27.5,4,2.45,No,0
4.5,8.8,4,74.8,43.8,6,3.7,No,1
7.5,9.8,1,100.0,65.8,7,3.74,No,1
5.6,6.9,6,71.4,47.5,10,2.72,Yes,1
4.6,4.7,3,89.1,42.4,8,2.99,No,1
0.8,,3,87.1,21.3,10,1.87,Yes,0
4.9,6.7,3,96.8,51.0,8,2.25,No,1
7.9,9.1,4,83.1,75.8,6,3.39,Yes,1
1.1,4.6,6,70.3,32.5,6,2.09,Yes,0
4.1,6.9,7,69.7,54.7,8,3.54,No,1
7.0,4.9,2,85.9,61.0,7,3.28,No,1
5.9,5.9,3,87.0,56.7,10,3.03,No,1
5.6,8.4,3,96.8,64.6,10,1.68,No,1
5.6,6.9,4,90.2,59.2,6,2.28,No,1
2.9,6.3,4,94.2,47.9,8,2.95,No,0
2.3,6.4,3,90.4,33.0,3,1.81,Yes,0
6.5,6.8,5,80.7,57.2,4,2.37,No,1
6.5,8.7,5,75.0,61.8,10,3.03,Yes,1
6.9,9.4,4,85.3,53.8,5,2.1,Yes,1
7.3,9.7,8,67.3,41.4,7,1.91,Yes,1
4.1,8.7,4,87.9,46.2,5,1.24,No,0
4.0,5.9,3,82.4,52.2,6,2.23,No,1
6.4,8.1,5,80.3,58.5,4,3.04,No,1
5.2,6.6,9,56.1,45.0,7,1.89,No,0
5.6,5.5,5,81.7,50.4,8,2.51,No,0
6.4,9.0,2,95.4,40.5,9,2.34,Yes,1
7.1,4.2,5,71.9,56.9,9,2.03,No,1
2.7,,2,85.3,30.8,9,3.09,No,0
3.0,6.8,2,85.5,36.7,10,3.65,Yes,1
0.8,7.8,5,79.1,21.1,7,3.2,No,0
4.6,8.0,2,85.0,36.8,7,2.01,No,1
0.3,9.4,5,,21.2,8,3.89,Yes,0
3.7,7.8,1,98.2,50.0,9,3.2,No,0
4.3,7.7,3,91.0,41.8,6,2.18,No,1
2.3,4.4,3,80.1,26.6,7,1.96,No,0
4.7,7.1,2,98.5,56.1,8,3.28,Yes,1
0.2,4.9,6,79.2,27.3,6,2.62,No,0
0.3,8.4,2,88.6,6.4,5,1.9,No,0
6.6,7.1,0,92.3,65.8,5,2.4,No,1
2.9,8.1,5,79.6,39.5,6,2.21,No,0
1.0,4.3,2,89.7,35.0,6,1.92,No,0
4.2,4.5,5,77.9,45.6,10,3.21,No,1
6.2,8.3,1,92.5,69.9,8,3.05,No,1
1.7,4.4,5,83.6,31.6,8,3.09,No,1
5.0,4.4,5,67.0,30.1,3,3.08,No,0
0.7,4.1,5,87.1,20.1,10,1.86,No,0
0.4,9.7,8,73.0,30.2,5,2.08,No,0
4.3,8.4,4,85.1,49.8,10,3.52,No,1
4.3,6.1,5,79.3,45.7,8,2.58,No,0
5.1,5.8,6,81.4,40.5,5,1.47,Yes,1
5.8,6.1,5,79.8,54.4,3,2.65,Yes,1
7.8,8.6,4,82.6,64.8,10,2.96,No,1
4.1,8.0,2,97.7,46.0,3,2.87,No,1
2.6,5.1,7,82.5,41.0,6,1.84,No,1
6.4,5.0,2,87.1,61.1,10,3.82,No,1
2.2,4.6,4,86.1,31.9,3,1.45,No,0
3.5,8.0,3,82.6,34.6,5,2.58,No,1
0.6,8.6,4,86.5,41.3,7,3.72,Yes,0
0.2,5.6,5,76.1,42.7,7,2.91,No,0
7.7,4.1,2,98.1,78.6,7,3.09,No,1
6.7,4.5,7,71.5,62.6,5,1.76,Yes,1
5.6,9.8,2,,40.1,10,2.74,No,1
3.3,5.8,5,88.2,27.1,8,2.47,No,0
1.4,8.6,1,92.3,26.0,4,1.71,Yes,0
1.3,7.7,3,91.4,32.3,10,3.11,Yes,0
2.0,6.3,1,92.8,33.1,8,1.93,Yes,0
4.4,5.2,4,90.0,47.6,8,2.01,No,1
5.7,4.7,5,88.9,43.0,10,2.8,No,1
5.3,7.7,5,78.7,64.2,6,2.4,Yes,1
2.2,8.6,3,77.0,48.3,10,2.62,No,1
7.6,7.9,4,80.6,52.2,7,2.36,Yes,1
5.9,7.2,4,96.2,41.6,8,3.49,No,1
4.4,4.3,9,61.0,45.0,4,1.85,No,0
4.9,9.8,5,88.9,58.9,8,2.17,Yes,1
3.4,8.8,5,77.0,42.4,10,2.84,No,1
2.0,5.8,7,68.8,35.7,8,1.81,No,1
2.8,9.9,3,91.9,34.0,7,1.78,No,0
6.1,7.6,2,95.3,56.9,9,2.6,No,1
0.1,7.5,7,76.3,34.3,4,3.11,No,0
0.9,8.5,7,72.0,34.2,8,3.2,No,0
0.4,8.9,5,85.2,31.7,10,2.56,No,0
0.3,7.9,6,80.8,12.3,4,2.03,Yes,0
6.8,4.8,5,85.7,76.5,9,2.69,No,1
5.6,6.0,2,,40.6,10,2.9,Yes,1
3.8,9.6,5,85.2,45.6,10,2.68,No,1
0.8,5.3,7,69.4,29.5,1,3.36,No,0
3.9,6.2,6,75.2,42.2,9,1.79,No,0
3.8,6.6,2,91.1,50.0,6,2.01,Yes,1
1.4,6.6,6,71.0,27.9,10,3.27,Yes,0
3.5,7.7,3,79.3,37.0,5,1.47,Yes,0
3.2,9.7,5,86.1,31.1,6,2.12,No,0
4.9,5.4,4,80.5,57.5,3,1.99,No,1
5.1,4.7,2,90.7,50.4,8,1.41,Yes,0
0.4,5.2,5,76.3,31.8,8,2.37,Yes,0
3.0,9.3,6,74.7,47.5,6,3.02,Yes,0
5.0,7.9,6,73.5,66.2,7,2.61,No,1
4.0,5.7,3,94.4,60.7,8,3.06,Yes,1
6.9,,4,81.0,63.7,10,3.33,No,1
5.3,9.2,4,92.6,52.2,6,2.23,No,1
1.3,9.1,5,85.7,30.2,4,4.0,No,0
0.6,9.5,2,89.6,33.5,5,2.26,No,0
5.1,5.5,1,97.6,55.9,8,2.35,Yes,1
0.2,8.5,1,98.6,19.2,4,2.0,Yes,0
4.7,6.8,7,76.2,55.0,9,2.88,Yes,1
7.5,9.1,7,76.7,70.2,7,2.3,No,1
4.6,8.4,5,80.9,38.9,7,2.44,No,1
3.1,8.7,5,75.2,,8,2.36,Yes,0
5.1,7.9,2,95.2,49.7,9,2.34,No,1
3.7,5.1,1,94.8,43.7,8,2.61,Yes,0
4.4,7.3,6,62.1,38.7,9,2.18,No,1
7.5,9.9,3,90.0,47.3,10,2.22,No,1
3.1,9.6,3,84.3,36.0,3,3.25,No,0
7.7,4.3,3,85.7,55.9,4,2.29,Yes,1
7.2,5.0,2,92.0,64.4,8,2.77,No,1
1.6,4.8,4,76.2,34.7,7,1.88,No,0
0.6,8.4,3,88.7,29.9,7,2.19,Yes,1
0.8,8.9,7,70.4,16.1,5,1.64,No,0
0.1,5.3,4,79.6,19.1,7,3.8,Yes,0
0.8,7.0,3,88.2,26.0,10,3.46,No,1
5.5,9.0,5,71.5,53.5,10,2.92,No,1
0.6,8.4,2,92.4,28.3,8,4.0,Yes,0
2.6,7.3,4,86.4,41.6,8,3.04,No,1
6.8,7.5,3,89.5,66.6,5,2.38,No,1
0.2,7.1,5,83.9,18.5,10,2.76,No,0
6.5,,2,97.8,51.7,10,3.45,No,1
2.3,7.4,6,75.6,36.3,8,1.88,No,1
0.9,8.1,3,93.5,27.2,4,1.68,No,0
5.6,,4,83.6,59.5,8,2.78,Yes,1
5.0,7.8,5,76.5,49.2,6,2.09,Yes,1
7.0,8.6,4,82.0,70.8,10,0.92,No,1
5.9,5.0,4,85.3,40.1,9,1.63,No,1
6.4,6.8,2,97.4,63.3,6,2.28,No,1
2.3,4.1,3,88.0,38.2,8,2.53,No,0
1.4,5.5,2,88.6,20.9,10,2.55,No,0
6.0,8.4,1,100.0,41.3,10,3.9,No,1
6.5,10.0,3,80.8,48.2,8,2.35,No,1
7.9,4.6,4,80.7,74.6,9,2.69,No,1
3.3,6.4,4,88.5,48.0,3,1.36,No,0
3.0,8.8,7,80.8,38.9,10,2.48,Yes,0
6.2,5.2,2,94.4,53.6,9,2.73,Yes,1
2.7,7.3,5,81.2,29.7,6,1.54,No,0
7.4,8.4,8,66.5,59.2,10,1.85,Yes,1
6.9,,9,66.7,56.4,10,2.84,No,1
3.4,5.1,2,92.6,54.9,3,2.12,Yes,1
6.0,6.1,4,80.2,,5,2.43,No,0
6.0,8.7,4,82.5,58.9,3,2.88,Yes,1
0.8,7.3,6,71.7,45.9,10,3.93,No,0
7.2,4.0,5,80.1,66.9,10,2.34,No,1
4.0,8.6,1,96.8,38.5,10,3.74,No,1
6.6,4.2,2,100.0,42.9,8,1.13,No,0
2.6,8.5,6,73.0,40.4,7,2.6,No,0
7.2,5.2,5,79.1,61.7,9,2.27,No,1
3.1,9.7,4,90.3,49.6,4,2.13,Yes,0
0.1,6.2,5,89.0,30.8,5,2.96,No,0
7.2,6.0,4,86.4,56.8,8,2.35,No,1
0.7,4.9,4,82.7,21.2,9,1.08,No,0
2.6,,1,93.6,25.3,6,1.39,Yes,0
7.6,9.3,8,58.8,,10,3.01,Yes,1
7.6,10.0,2,87.4,49.5,10,1.35,Yes,1
4.6,6.2,4,84.5,56.3,7,3.02,No,1
5.1,6.7,7,71.1,55.4,2,2.59,No,0
3.6,8.3,6,79.1,47.2,3,2.38,No,1
2.3,9.3,3,87.0,25.8,7,2.44,No,1
2.6,7.6,5,76.4,37.5,9,2.86,No,1
5.4,6.3,5,81.7,47.2,5,1.68,No,0
6.0,6.5,3,100.0,55.9,5,2.53,No,1
6.3,8.2,3,86.4,59.1,4,1.7,No,1
6.3,4.0,5,80.7,52.6,1,2.61,No,0
0.7,,1,100.0,25.6,6,2.95,Yes,0
4.0,6.1,4,81.1,50.7,9,2.62,No,1
0.5,8.8,2,98.4,19.3,7,2.93,Yes,0
4.4,4.6,1,88.1,40.0,6,2.01,No,1
3.5,7.5,2,90.0,42.5,10,2.46,No,1
7.1,6.9,4,82.4,67.4,3,2.33,No,1
2.8,7.9,4,84.8,30.8,8,2.29,Yes,0
0.9,4.4,2,82.1,42.7,6,1.94,No,0
1.1,7.5,9,70.8,19.1,4,2.2,Yes,0
6.1,7.4,4,86.1,66.3,3,1.72,No,0
4.9,7.4,5,85.6,56.7,10,1.31,No,1
0.8,7.6,4,92.1,16.6,5,2.01,Yes,0
0.7,8.1,3,84.3,16.3,5,2.94,No,0
5.6,8.8,6,63.5,,10,2.66,Yes,1
0.6,5.6,5,85.7,23.2,6,1.62,No,0
6.6,9.0,5,78.6,49.4,5,2.22,No,0
5.6,7.0,4,78.3,68.5,4,2.98,Yes,1
0.7,,4,,,6,2.19,Yes,0
0.7,4.4,3,100.0,20.7,2,1.51,No,0
7.9,6.0,1,95.5,62.6,5,4.0,Yes,1
3.0,8.7,1,100.0,17.4,7,2.38,No,1
3.0,8.2,5,75.1,,8,1.69,Yes,0
6.5,8.7,6,67.6,50.4,8,2.62,No,1
7.6,7.1,6,80.6,,7,2.44,No,1
7.9,6.6,3,,69.9,7,1.42,No,1
6.0,4.9,6,73.7,57.0,6,2.57,No,0
3.0,6.0,5,88.5,43.3,10,3.19,No,1
0.7,6.6,6,67.2,29.5,10,2.34,No,0
6.2,,1,89.8,47.5,5,1.06,No,1
4.5,5.3,3,85.3,43.1,10,2.74,Yes,1
3.4,7.6,3,86.2,53.4,7,2.92,No,1
7.3,8.4,6,83.3,66.6,9,2.09,No,1
0.9,10.0,2,92.2,30.3,4,2.09,No,0
3.9,9.6,9,63.0,52.3,8,4.0,Yes,1
0.1,7.9,4,77.6,24.1,4,2.04,No,0
3.7,6.5,3,93.4,43.4,7,1.71,No,1
0.5,7.8,5,74.3,32.3,6,2.52,No,0
1.0,8.7,5,73.6,14.2,10,2.9,No,0
0.9,4.7,2,90.0,37.5,3,2.87,No,0
5.2,6.5,3,88.8,54.2,8,0.77,No,0
6.0,9.0,5,76.4,47.8,10,2.04,No,1
4.7,6.3,4,87.5,,6,3.31,No,1
7.7,7.4,3,86.6,46.2,9,2.73,No,1
3.0,7.5,1,100.0,41.1,10,1.63,No,0
2.3,5.1,4,,38.6,4,3.37,No,0
6.9,6.2,2,100.0,58.4,6,3.18,Yes,1
1.8,6.0,8,65.8,33.7,7,2.29,Yes,0
7.7,4.2,7,76.2,69.4,8,3.12,No,1
0.1,4.1,5,71.1,,7,3.9,No,0
7.8,9.0,2,100.0,70.5,8,1.76,No,1
0.3,5.6,4,88.0,24.0,5,2.89,No,0
7.1,7.1,6,74.5,71.4,4,3.89,No,1
4.2,5.8,3,86.7,52.1,5,2.96,No,1
7.9,9.6,2,90.8,60.0,6,1.97,Yes,1
0.6,5.6,5,89.2,27.7,6,2.67,Yes,0
4.4,6.6,5,84.5,48.8,10,3.46,No,1
7.8,,5,77.8,75.4,6,1.79,No,1
4.2,9.1,5,73.8,36.8,5,2.48,Yes,0
5.0,5.1,6,,46.2,4,2.33,Yes,0
5.6,8.8,4,88.2,39.5,8,2.06,Yes,1
3.6,6.7,0,100.0,44.3,3,2.67,No,1
5.0,6.9,6,75.6,44.9,6,2.43,No,1
4.7,4.8,5,78.5,45.4,10,2.95,No,1
7.2,4.5,6,84.4,74.5,10,3.3,No,1
0.4,8.4,6,84.9,18.6,2,1.61,No,0
2.2,7.0,2,95.2,34.8,6,2.55,No,0
7.6,6.6,2,96.8,59.3,9,2.46,Yes,1
